id_species,species_name,genus,Images
1356382,Dryopteris_filix-mas,Dryopteris,1031
1360978,Pancratium_maritimum,Pancratium,1030
1363764,Acacia_dealbata,Acacia,1028
1394454,Pelargonium_inquinans,Pelargonium,1022
1364159,Tagetes_patula,Tagetes,1007
1393393,Kniphofia_uvaria,Kniphofia,968
1362294,Epipactis_helleborine,Epipactis,934
1369960,Tradescantia_spathacea,Tradescantia,923
1409295,Nandina_domestica,Nandina,923
1359669,Nymphaea_alba,Nymphaea,903
1355978,Pelargonium_zonale,Pelargonium,891
1391483,Cucurbita_maxima,Cucurbita,889
1394404,Papaver_orientale,Papaver,873
1398515,Hypericum_x_hidcoteense,Hypericum,835
1356111,Lamium_amplexicaule,Lamium,823
1360671,Chaerophyllum_temulum,Chaerophyllum,794
1391192,Cirsium_eriophorum,Cirsium,784
1390637,Calendula_arvensis,Calendula,748
1359625,Althaea_officinalis,Althaea,744
1364172,Lactuca_sativa,Lactuca,742
1360998,Anthericum_liliago,Anthericum,740
1391652,Daphne_mezereum,Daphne,732
1360588,Daphne_gnidium,Daphne,730
1358605,Mercurialis_perennis,Mercurialis,728
1359488,Trifolium_campestre,Trifolium,723
1361759,Cirsium_palustre,Cirsium,710
1356126,Lavandula_dentata,Lavandula,704
1391226,Cirsium_oleraceum,Cirsium,681
1360153,Anemone_coronaria,Anemone,677
1398128,Sedum_palmeri,Sedum,663
1358751,Lamium_hybridum,Lamium,661
1360590,Daphne_laureola,Daphne,661
1359485,Trifolium_arvense,Trifolium,648
1394489,Anemone_pulsatilla,Anemone,646
1393792,Melilotus_officinalis,Melilotus,630
1363737,Trifolium_dubium,Trifolium,622
1358105,Sedum_dasyphyllum,Sedum,620
1421021,Sedum_palmeri,Sedum,608
1357677,Lactuca_muralis,Lactuca,571
1363749,Melilotus_indicus,Melilotus,566
1356421,Nephrolepis_exaltata,Nephrolepis,550
1363490,Phalaris_arundinacea,Phalaris,543
1420863,Kniphofia_uvaria,Kniphofia,536
1363699,Lupinus_angustifolius,Lupinus,528
1358150,Alliaria_petiolata,Alliaria,520
1397420,Lactuca_perennis,Lactuca,511
1418547,Sedum_morganianum,Sedum,504
1392695,Hebe_salicifolia,Hebe,502
1529081,Sedum_adolphii,Sedum,498
1409292,Dendrobium_nobile,Dendrobium,492
1360811,Thapsia_villosa,Thapsia,486
1397312,Anemone_ranunculoides,Anemone,479
1356692,Lithodora_fruticosa,Lithodora,473
1394504,Anemone_sylvestris,Anemone,471
1398444,Anemone_blanda,Anemone,456
1393449,Lathraea_clandestina,Lathraea,450
1362954,Schefflera_actinophylla,Schefflera,430
1359197,Galega_officinalis,Galega,428
1392777,Hippophae_rhamnoides,Hippophae,420
1402921,Peperomia_obtusifolia,Peperomia,416
1363129,Papaver_dubium,Papaver,410
1396708,Metasequoia_glyptostroboides,Metasequoia,410
1397303,Adenostyles_alpina,Adenostyles,399
1393466,Lavandula_latifolia,Lavandula,379
1361666,Ophrys_scolopax,Ophrys,359
1420795,Alocasia_sanderiana,Alocasia,357
1391953,Epipactis_atrorubens,Epipactis,354
1529328,Sedum_rubrotinctum,Sedum,352
1363110,Anemone_hortensis,Anemone,351
1393725,Maianthemum_bifolium,Maianthemum,347
1393946,Neotinea_ustulata,Neotinea,345
1355868,Lactuca_virosa,Lactuca,335
1391797,Dryas_octopetala,Dryas,329
1359525,Trifolium_stellatum,Trifolium,329
1359483,Trifolium_angustifolium,Trifolium,327
1399145,Cucurbita_moschata,Cucurbita,325
1399783,Schefflera_actinophylla,Schefflera,322
1394120,Ophrys_fuciflora,Ophrys,317
1356428,Osmunda_regalis,Osmunda,312
1363021,Cenchrus_setaceus,Cenchrus,309
1394399,Papaver_alpinum,Papaver,306
1361024,Butomus_umbellatus,Butomus,304
1393414,Lactuca_alpina,Lactuca,302
1356420,Nephrolepis_cordifolia,Nephrolepis,301
1357705,Limbarda_crithmoides,Limbarda,292
1356816,Vaccaria_hispanica,Vaccaria,292
1396843,Trifolium_alpinum,Trifolium,291
1393250,Hypericum_maculatum,Hypericum,289
1398326,Calycanthus_floridus,Calycanthus,288
1408045,Alocasia_macrorrhizos,Alocasia,280
1393450,Lathraea_squamaria,Lathraea,271
1413755,Sedum_spathulifolium,Sedum,267
1409215,Peperomia_caperata,Peperomia,266
1398111,Adenostyles_alliariae,Adenostyles,262
1397351,Cirsium_acaulon,Cirsium,262
1357379,Carthamus_lanatus,Carthamus,261
1497667,Tradescantia_sillamontana,Tradescantia,260
1363778,Acacia_retinodes,Acacia,259
1396165,Sedum_sexangulare,Sedum,258
1363871,Barbarea_verna,Barbarea,255
1529107,Sedum_burrito,Sedum,255
1397387,Fragaria_viridis,Fragaria,255
1389307,Sedum_pachyphyllum,Sedum,250
1358700,Hypericum_hirsutum,Hypericum,247
1391963,Epipactis_palustris,Epipactis,245
1397514,Trifolium_medium,Trifolium,244
1361847,Casuarina_cunninghamiana,Casuarina,243
1361850,Trifolium_rubens,Trifolium,242
1362927,Tradescantia_pallida,Tradescantia,241
1667445,Fragaria_x_ananassa,Fragaria,240
1360555,Hyoscyamus_niger,Hyoscyamus,240
1405685,Acalypha_wilkesiana,Acalypha,239
1397313,Angelica_archangelica,Angelica,238
1396713,Telekia_speciosa,Telekia,235
1359622,Althaea_cannabina,Althaea,234
1394073,Ophrys_aranifera,Ophrys,233
1360550,Hyoscyamus_albus,Hyoscyamus,233
1363451,Secale_cereale,Secale,232
1363126,Papaver_argemone,Papaver,231
1402920,Peperomia_magnoliifolia,Peperomia,230
1391112,Chaerophyllum_hirsutum,Chaerophyllum,230
1389297,Cereus_jamacaru,Cereus,229
1409185,Aphelandra_squarrosa,Aphelandra,227
1392654,Gomphocarpus_physocarpus,Gomphocarpus,219
1389231,Phedimus_spurius,Phedimus,218
1372016,Morinda_citrifolia,Morinda,218
1361663,Ophrys_lutea,Ophrys,217
1397352,Cirsium_spinosissimum,Cirsium,217
1392094,Erucastrum_incanum,Erucastrum,216
1402926,Peperomia_serpens,Peperomia,213
1419334,Liriope_muscari,Liriope,204
1397311,Anemone_narcissiflora,Anemone,202
1398513,Hypericum_patulum,Hypericum,200
1385701,Couroupita_guianensis,Couroupita,199
1362516,Ophrys_insectifera,Ophrys,199
1412661,Maianthemum_racemosum,Maianthemum,198
1397403,Honckenya_peploides,Honckenya,194
1405641,Asystasia_gangetica,Asystasia,187
1359508,Trifolium_montanum,Trifolium,187
1432786,Calendula_arvensis,Calendula,187
1364165,Carthamus_tinctorius,Carthamus,185
1359497,Trifolium_hybridum,Trifolium,185
1358108,Sedum_forsterianum,Sedum,184
1412659,Maianthemum_canadense,Maianthemum,183
1488171,Selenicereus_anthonyanus,Selenicereus,181
1391649,Daphne_cneorum,Daphne,180
1391209,Cirsium_heterophyllum,Cirsium,179
1394513,Anemone_vernalis,Anemone,179
1389921,Erechtites_hieraciifolius,Erechtites,179
1364000,Duchesnea_indica,Duchesnea,175
1394453,Pelargonium_x_hybridum,Pelargonium,175
1389044,Lactuca_plumieri,Lactuca,175
1360759,Meum_athamanticum,Meum,170
1391868,Empetrum_nigrum,Empetrum,169
1359519,Trifolium_resupinatum,Trifolium,168
1361745,Myosoton_aquaticum,Myosoton,168
1393846,Moehringia_ciliata,Moehringia,163
1359486,Trifolium_aureum,Trifolium,163
1355959,Pelargonium_peltatum,Pelargonium,160
1529265,Sedum_nussbaumerianum,Sedum,160
1419923,Peperomia_argyreia,Peperomia,159
1419173,Loropetalum_chinense,Loropetalum,159
1363613,Sedum_hispanicum,Sedum,159
1363750,Melilotus_officinalis,Melilotus,158
1409216,Peperomia_obtusifolia,Peperomia,154
1394759,Anthericum_ramosum,Anthericum,151
1414058,Tradescantia_ohiensis,Tradescantia,147
1408688,Acalypha_hispida,Acalypha,146
1396842,Trifolium_alpestre,Trifolium,145
1398041,Neotinea_tridentata,Neotinea,145
1411524,Conoclinium_coelestinum,Conoclinium,143
1389230,Phedimus_aizoon,Phedimus,141
1362434,Centranthus_angustifolius,Centranthus,139
1412337,Anemone_canadensis,Anemone,139
1413002,Aralia_nudicaulis,Aralia,137
1391529,Cytinus_hypocistis,Cytinus,135
1422105,Tradescantia_zebrina,Tradescantia,135
1397551,Trifolium_badium,Trifolium,135
1411834,Duchesnea_indica,Duchesnea,134
1358710,Hypericum_tetrapterum,Hypericum,133
1397209,Viscaria_vulgaris,Viscaria,132
1356278,Trifolium_fragiferum,Trifolium,131
1362582,Freesia_refracta,Freesia,131
1400081,Adonis_vernalis,Adonis,130
1488026,Pilosocereus_pachycladus,Pilosocereus,129
1418140,Lithops_pseudotruncatella,Lithops,128
1376726,Peperomia_pellucida,Peperomia,128
1400478,Nephrolepis_biserrata,Nephrolepis,127
1405686,Breynia_disticha,Breynia,127
1357652,Hyoseris_radiata,Hyoseris,127
1412418,Lamium_maculatum,Lamium,126
1361891,Falcaria_vulgaris,Falcaria,125
1503981,Cirsium_palustre,Cirsium,124
1389442,Atocion_rupestre,Atocion,124
1394394,Anemone_apennina,Anemone,123
1395391,Holodiscus_discolor,Holodiscus,120
1394164,Ophrys_passionis,Ophrys,120
1361508,Oncostema_peruviana,Oncostema,120
1398480,Clethra_alnifolia,Clethra,119
1362489,Sedum_anglicum,Sedum,118
1412699,Mertensia_virginica,Mertensia,117
1393933,Narthecium_ossifragum,Narthecium,117
1398567,Smilax_rotundifolia,Smilax,116
1358519,Acalypha_virginica,Acalypha,115
1529124,Sedum_clavatum,Sedum,114
1371691,Mussaenda_erythrophylla,Mussaenda,114
1420496,Mussaenda_philippica,Mussaenda,113
1360148,Adonis_annua,Adonis,113
1361660,Ophrys_fusca,Ophrys,113
1384499,Lagenaria_siceraria,Lagenaria,112
1391193,Cirsium_erisithales,Cirsium,112
1358699,Hypericum_hircinum,Hypericum,111
1403967,Cereus_hexagonus,Cereus,111
1396133,Diascia_rigescens,Diascia,109
1438352,Smilax_bona-nox,Smilax,108
1409191,Gynura_aurantiaca,Gynura,107
1397585,Freesia_alba,Freesia,107
1363127,Papaver_hybridum,Papaver,107
1358701,Hypericum_humifusum,Hypericum,106
1361672,Ophrys_tenthredinifera,Ophrys,104
1363769,Acacia_longifolia,Acacia,104
1394082,Ophrys_bertolonii,Ophrys,104
1396143,Sedum_sarmentosum,Sedum,104
1360835,Centranthus_calcitrapae,Centranthus,103
1419115,Pelargonium_x_hortorum,Pelargonium,103
1396156,Sedum_kamtschaticum,Sedum,103
1363770,Acacia_mearnsii,Acacia,103
1393654,Lupinus_arboreus,Lupinus,103
1361668,Ophrys_speculum,Ophrys,103
1408037,Alocasia_cucullata,Alocasia,103
1393418,Lactuca_viminea,Lactuca,102
1391235,Cirsium_rivulare,Cirsium,101
1363117,Tradescantia_cerinthoides,Tradescantia,100
1360618,Berula_erecta,Berula,98
1383149,Casuarina_equisetifolia,Casuarina,98
1406486,Kigelia_africana,Kigelia,97
1643491,Peperomia_ferreyrae,Peperomia,97
1364161,Calendula_arvensis,Calendula,96
1364158,Tagetes_minuta,Tagetes,96
1394405,Papaver_pseudoorientale,Papaver,96
1392689,Hebe_andersonii,Hebe,95
1529242,Sedum_makinoi,Sedum,95
1643184,Peperomia_albovittata,Peperomia,95
1392658,Guizotia_abyssinica,Guizotia,94
1408788,Trimezia_martinicensis,Trimezia,94
1396161,Sedum_ochroleucum,Sedum,94
1358112,Sedum_hirsutum,Sedum,92
1356003,Phyllanthus_tenellus,Phyllanthus,91
1360147,Adonis_aestivalis,Adonis,90
1408869,Cereus_repandus,Cereus,90
1418546,Sedum_lineare,Sedum,90
1402925,Peperomia_rotundifolia,Peperomia,88
1389294,Nephrolepis_cordifolia,Nephrolepis,88
1357506,Cirsium_monspessulanum,Cirsium,88
1406863,Acalypha_indica,Acalypha,86
1643866,Peperomia_polybotrya,Peperomia,86
1550692,Pelargonium_x_hortorum,Pelargonium,85
1385700,Barringtonia_asiatica,Barringtonia,85
1363491,Phalaris_canariensis,Phalaris,85
1398447,Aralia_elata,Aralia,84
1356901,Moehringia_trinervia,Moehringia,84
1646149,Hebe_andersonii,Hebe,84
1399231,Lamium_orvala,Lamium,83
1389553,Acacia_melanoxylon,Acacia,82
1391530,Cytinus_ruber,Cytinus,82
1356469,Achyranthes_aspera,Achyranthes,81
1432783,Lactuca_virosa,Lactuca,80
1419091,Lycoris_squamigera,Lycoris,79
1413391,Pyracantha_coccinea,Pyracantha,79
1357331,Calendula_stellata,Calendula,79
1516297,Othonna_capensis,Othonna,79
1397556,Freesia_refracta,Freesia,79
1358101,Sedum_caeruleum,Sedum,79
1395721,Sagittaria_latifolia,Sagittaria,79
1358103,Sedum_cepaea,Sedum,79
1392096,Erucastrum_nasturtiifolium,Erucastrum,78
1393789,Melilotus_altissimus,Melilotus,76
1376366,Triadica_sebifera,Triadica,75
1389630,Perovskia_abrotanoides,Perovskia,75
1393980,Nymphaea_candida,Nymphaea,74
1529212,Sedum_japonicum,Sedum,74
1393850,Moehringia_muscosa,Moehringia,74
1393254,Hypericum_pulchrum,Hypericum,73
1375966,Phyllanthus_amarus,Phyllanthus,72
1398274,Adenostyles_leucophylla,Adenostyles,72
1419077,Lycoris_radiata,Lycoris,72
1393981,Nymphoides_peltata,Nymphoides,72
1394498,Anemone_rubra,Anemone,71
1363700,Lupinus_luteus,Lupinus,70
1392361,Fragaria_moschata,Fragaria,68
1391110,Chaerophyllum_aureum,Chaerophyllum,68
1359518,Trifolium_purpureum,Trifolium,67
1389492,Tagetes_tenuifolia,Tagetes,66
1363703,Lupinus_albus,Lupinus,65
1401735,Phyllanthus_urinaria,Phyllanthus,65
1397305,Alcea_biennis,Alcea,65
1358749,Lamium_flexuosum,Lamium,65
1393968,Noccaea_rotundifolia,Noccaea,65
1358132,Sedum_rubens,Sedum,64
1392653,Gomphocarpus_fruticosus,Gomphocarpus,64
1412833,Nymphaea_odorata,Nymphaea,64
1390957,Carthamus_mitissimus,Carthamus,64
1394455,Pelargonium_peltatum,Pelargonium,64
1397491,Sedum_atratum,Sedum,64
1398469,Ophrys_virescens,Ophrys,63
1618661,Dendrobium_victoriae-reginae,Dendrobium,63
1358099,Sedum_brevifolium,Sedum,63
1408979,Fragaria_chiloensis,Fragaria,63
1395722,Sagittaria_sagittifolia,Sagittaria,63
1411760,Diervilla_lonicera,Diervilla,63
1396159,Sedum_mexicanum,Sedum,63
1402811,Crotalaria_retusa,Crotalaria,63
1464459,Anthurium_clarinervium,Anthurium,63
1391648,Daphne_alpina,Daphne,63
1397598,Cobaea_scandens,Cobaea,62
1393257,Hypericum_richeri,Hypericum,61
1356076,Tradescantia_zebrina,Tradescantia,60
1408041,Alocasia_longiloba,Alocasia,60
1408557,Pongamia_pinnata,Pongamia,60
1418191,Lithops_spp.,Lithops,59
1412889,Osmunda_claytoniana,Osmunda,57
1412697,Mertensia_maritima,Mertensia,56
1412662,Maianthemum_stellatum,Maianthemum,56
1497434,Cyanotis_somaliensis,Cyanotis,56
1412410,Anemone_virginiana,Anemone,56
1408490,Pereskia_grandifolia,Pereskia,55
1418984,Lupinus_albifrons,Lupinus,55
1408874,Bismarckia_nobilis,Bismarckia,55
1389567,Acacia_saligna,Acacia,55
1412946,Papaver_nudicaule,Papaver,55
1358760,Lavandula_multifida,Lavandula,55
1400104,Acacia_baileyana,Acacia,55
1399920,Angelica_atropurpurea,Angelica,53
1414275,Barbarea_orthoceras,Barbarea,53
1411832,Dryopteris_intermedia,Dryopteris,52
1397349,Chaerophyllum_bulbosum,Chaerophyllum,51
1664348,Hepatica_nobilis,Hepatica,50
1464088,Alocasia_zebrina,Alocasia,49
1403826,Pereskia_bleo,Pereskia,48
1409195,Pereskia_aculeata,Pereskia,48
1408214,Hypericum_lanceolatum,Hypericum,48
1370279,Gymnosporia_putterlickioides,Gymnosporia,48
1393823,Mercurialis_tomentosa,Mercurialis,48
1358706,Hypericum_perfoliatum,Hypericum,48
1513142,Lactuca_alpina,Lactuca,48
1420896,Zamia_furfuracea,Zamia,48
1420787,Alocasia_odora,Alocasia,47
1420792,Daphne_odora,Daphne,47
1434011,Liriope_muscari,Liriope,47
1408738,Strongylodon_macrobotrys,Strongylodon,47
1413757,Sedum_ternatum,Sedum,47
1392365,Freesia_x_hybrida,Freesia,47
1398608,Nothofagus_antarctica,Nothofagus,47
1389966,Cenchrus_longisetus,Cenchrus,47
1420781,Alocasia_micholitziana,Alocasia,47
1389308,Sedum_dendroideum,Sedum,47
1359530,Trifolium_tomentosum,Trifolium,47
1391250,Cirsium_tuberosum,Cirsium,46
1435260,Aralia_spinosa,Aralia,46
1394383,Pancratium_illyricum,Pancratium,45
1363772,Acacia_pycnantha,Acacia,45
1400471,Bocoa_prouacensis,Bocoa,44
1358704,Hypericum_montanum,Hypericum,43
1409296,Nymphaea_nouchali,Nymphaea,42
1402924,Peperomia_quadrangularis,Peperomia,42
1394995,Pyracantha_rogersiana,Pyracantha,41
1391805,Dryopteris_carthusiana,Dryopteris,40
1394143,Ophrys_lupercalis,Ophrys,40
1390956,Carthamus_carduncellus,Carthamus,40
1375965,Phyllanthus_acidus,Phyllanthus,40
1514035,Leucophyta_brownii,Leucophyta,40
1419086,Garrya_elliptica,Garrya,40
1409746,Lactuca_floridana,Lactuca,40
1408421,Acacia_heterophylla,Acacia,40
1359510,Trifolium_ochroleucon,Trifolium,39
1412413,Lactuca_canadensis,Lactuca,39
1643887,Peperomia_prostrata,Peperomia,39
1392601,Geropogon_hybridus,Geropogon,39
1394313,Oreopteris_limbosperma,Oreopteris,38
1356380,Dryopteris_affinis,Dryopteris,38
1393294,Dierama_pulcherrimum,Dierama,38
1376703,Petiveria_alliacea,Petiveria,37
1398130,Hypericum_olympicum,Hypericum,37
1398830,Tetraclinis_articulata,Tetraclinis,37
1363463,Cenchrus_ciliaris,Cenchrus,36
1413013,Aralia_racemosa,Aralia,36
1392093,Erucastrum_gallicum,Erucastrum,36
1394396,Anemone_baldensis,Anemone,35
1406426,Crotalaria_pallida,Crotalaria,35
1398355,Ophrys_araneola,Ophrys,35
1419807,Vanilla_planifolia,Vanilla,35
1359495,Trifolium_hirtum,Trifolium,35
1436922,Prosopis_glandulosa,Prosopis,34
1402423,Anthurium_hookeri,Anthurium,34
1394508,Anemone_trifolia,Anemone,34
1391762,Dorotheanthus_bellidiformis,Dorotheanthus,34
1391326,Collomia_grandiflora,Collomia,34
1360427,Oldenlandia_corymbosa,Oldenlandia,33
1514627,Melampodium_divaricatum,Melampodium,33
1405061,Cryptostegia_madagascariensis,Cryptostegia,33
1416509,Nepenthes_vieillardii,Nepenthes,33
1393965,Noccaea_caerulescens,Noccaea,32
1379513,Hypericum_annulatum,Hypericum,32
1373530,Gynura_aurantiaca,Gynura,32
1418665,Rumohra_adiantiformis,Rumohra,32
1363489,Phalaris_aquatica,Phalaris,32
1393537,Limnanthes_douglasii,Limnanthes,32
1362435,Centranthus_lecoqii,Centranthus,31
1359528,Trifolium_subterraneum,Trifolium,31
1418655,Dryopteris_erythrosora,Dryopteris,31
1411687,Dalea_purpurea,Dalea,31
1422712,Pelargonium_grandiflorum,Pelargonium,31
1393253,Hypericum_nummularium,Hypericum,31
1529305,Sedum_praealtum,Sedum,31
1608027,Nothofagus_dombeyi,Nothofagus,31
1362385,Thesium_humifusum,Thesium,31
1391654,Daphne_striata,Daphne,31
1441410,Cirsium_texanum,Cirsium,30
1384497,Luffa_acutangula,Luffa,30
1394401,Papaver_croceum,Papaver,30
1394072,Ophrys_arachnitiformis,Ophrys,29
1409642,Fittonia_albivenis,Fittonia,28
1663381,Anemone_tomentosa,Anemone,28
1568914,Acacia_saligna,Acacia,28
1408401,Nephrolepis_abrupta,Nephrolepis,28
1393945,Neotinea_lactea,Neotinea,28
1392690,Hebe_brachysiphon,Hebe,28
1379556,Mussaenda_philippica,Mussaenda,27
1357681,Lactuca_saligna,Lactuca,27
1393245,Hypericum_elodes,Hypericum,27
1421001,Pelargonium_spp.,Pelargonium,27
1373151,Pelargonium_alchemilloides,Pelargonium,27
1394128,Ophrys_incubacea,Ophrys,27
1397841,Anemone_pratensis,Anemone,27
1643553,Peperomia_graveolens,Peperomia,26
1359332,Lupinus_micranthus,Lupinus,26
1362080,Nymphaea_lotus,Nymphaea,26
1529205,Sedum_hernandezii,Sedum,26
1419598,Nothofagus_pumilio,Nothofagus,26
1433158,Hypericum_hypericoides,Hypericum,26
1363872,Barbarea_intermedia,Barbarea,26
1399384,Rhodothamnus_chamaecistus,Rhodothamnus,26
1441349,Cirsium_altissimum,Cirsium,25
1391809,Dryopteris_dilatata,Dryopteris,25
1397379,Eritrichium_nanum,Eritrichium,25
1398333,Phyllanthus_niruri,Phyllanthus,25
1411833,Dryopteris_marginalis,Dryopteris,25
1360808,Thapsia_garganica,Thapsia,25
1464075,Alocasia_reginula,Alocasia,24
1488206,Stenocactus_multicostatus,Stenocactus,24
1367267,Crotalaria_polysperma,Crotalaria,24
1358096,Sedum_amplexicaule,Sedum,24
1397515,Trinia_glauca,Trinia,24
1391190,Cirsium_dissectum,Cirsium,24
1434712,Metasequoia_glyptostroboides,Metasequoia,24
1401737,Sagotia_racemosa,Sagotia,24
1387107,Kniphofia_linearifolia,Kniphofia,24
1373231,Pelargonium_quinquelobatum,Pelargonium,24
1662426,Lomatia_ferruginea,Lomatia,24
1359060,Acacia_mellifera,Acacia,24
1420365,Fragaria_x_ananassa,Fragaria,23
1421628,Nephrolepis_falcata,Nephrolepis,23
1361524,Elodea_canadensis,Elodea,23
1359065,Acacia_tortilis,Acacia,23
1392254,Fedia_graciliflora,Fedia,23
1394378,Anemone_x_hybrida,Anemone,23
1360150,Adonis_flammea,Adonis,23
1644223,Peperomia_verticillata,Peperomia,23
1396823,Tradescantia_x_andersoniana,Tradescantia,23
1363739,Trifolium_nigrescens,Trifolium,23
1397550,Sedum_montanum,Sedum,22
1409239,Anthurium_scherzerianum,Anthurium,22
1396144,Sedum_alpestre,Sedum,22
1442865,Elephantopus_elatus,Elephantopus,22
1404481,Vanilla_planifolia,Vanilla,22
1387687,Vanilla_planifolia,Vanilla,21
1365712,Harpachne_schimperi,Harpachne,21
1391962,Epipactis_muelleri,Epipactis,21
1412313,Hypericum_prolificum,Hypericum,21
1382099,Acacia_mangium,Acacia,21
1408507,Phyllanthus_emblica,Phyllanthus,21
1367938,Acacia_drepanolobium,Acacia,21
1359815,Papaver_atlanticum,Papaver,21
1359064,Acacia_seyal,Acacia,21
1391967,Epipactis_purpurata,Epipactis,21
1486475,Cereus_forbesii,Cereus,21
1393656,Lupinus_x_regalis,Lupinus,21
1432824,Herbertia_lahue,Herbertia,21
1374448,Aspilia_mossambicensis,Aspilia,21
1643341,Peperomia_clusiifolia,Peperomia,21
1358302,Fibigia_clypeata,Fibigia,21
1414272,Balsamorhiza_sagittata,Balsamorhiza,21
1358097,Sedum_andegavense,Sedum,20
1391807,Dryopteris_cristata,Dryopteris,20
1363019,Cenchrus_purpureus,Cenchrus,20
1391113,Chaerophyllum_villarsii,Chaerophyllum,20
1414808,Cerbera_manghas,Cerbera,20
1408468,Pelargonium_x_asperum,Pelargonium,20
1643819,Peperomia_pecuniifolia,Peperomia,19
1698065,Cyphostemma_serpens,Cyphostemma,19
1409834,Neolamarckia_cadamba,Neolamarckia,19
1418732,Oxydendrum_arboreum,Oxydendrum,19
1409214,Peperomia_argyreia,Peperomia,19
1427659,Crotalaria_laburnifolia,Crotalaria,19
1486501,Cereus_uruguayanus,Cereus,19
1363688,Crotalaria_juncea,Crotalaria,19
1365961,Cedrela_odorata,Cedrela,19
1421107,Alocasia_macrorrhizos,Alocasia,18
1434326,Lupinus_texensis,Lupinus,18
1441375,Cirsium_horridulum,Cirsium,18
1396754,Thesium_alpinum,Thesium,18
1357682,Lactuca_tenerrima,Lactuca,18
1413832,Smilax_herbacea,Smilax,18
1408451,Paederia_foetida,Paederia,18
1389633,Ophrys_occidentalis,Ophrys,18
1391960,Epipactis_leptochila,Epipactis,18
1399063,Alcea_setosa,Alcea,18
1410147,Zamia_pumila,Zamia,17
1374933,Montanoa_hibiscifolia,Montanoa,17
1362834,Diatelia_tuberaria,Diatelia,17
1419352,Limnanthes_douglasii,Limnanthes,17
1412888,Osmunda_cinnamomea,Osmunda,16
1408284,Leonitis_nepetifolia,Leonitis,16
1418576,Eucryphia_cordifolia,Eucryphia,16
1411520,Comptonia_peregrina,Comptonia,16
1408734,Stoebe_passerinoides,Stoebe,16
1412314,Hypericum_punctatum,Hypericum,16
1414057,Tradescantia_occidentalis,Tradescantia,16
1418563,Cucurbita_foetidissima,Cucurbita,16
1419720,Dendrobium_spp.,Dendrobium,16
1404804,Luffa_cylindrica,Luffa,16
1358691,Hypericum_canariense,Hypericum,16
1394418,Anemone_halleri,Anemone,16
1361316,Leersia_oryzoides,Leersia,16
1361655,Neotinea_maculata,Neotinea,15
1363735,Trifolium_alexandrinum,Trifolium,15
1369472,Gomphocarpus_integer,Gomphocarpus,15
1358755,Lavandula_canariensis,Lavandula,15
